id,titulo,categoria,tamanio,titulo2,autoridad,descripcion,frecuencia,destacado,source,detalle,que_es,cuando
202,sistema de administracion de documentos electronicos pase de expedientes,administracion,5000020,sistema de administracion de documentos electronicos: pase de expedientes,Jefatura de Gabinete de Ministros,Movimiento de expedientes según el Sistema de Administración de Documentos Electrónicos(SADE),Mensual,,,,,
44,servicio de informacion normativa,administracion,4074970,servicio de informacion normativa,SECR Legal y Técnica,Normas publicadas por el Gobierno de la Ciudad Autónoma de Buenos Aires y la Municipalidad de la Ciudad de Buenos Aires- en el Boletín Municipal y en el Boletín Oficial desde el 6/8/1996.,anual,,,,,
50,arbolado publico lineal,ambiente,3726970,arbolado publico lineal,Educación e Innovación,Información geolocalizada de los árboles en el espacio público (traza urbana) de la Ciudad de Buenos Aires según su especie.,Eventual,,,,,
53,contaminacion sonora,ambiente,3152770,contaminacion sonora,Ambiente y Espacio Público,Niveles de contaminación sonora medidos por la red de monitoreo de la Ciudad.,Mensual,,,,,
110,inscripcion escolar,educacion,2663470,inscripcion escolar,Educación e Innovación,Información correspondientes a las inscripciones escolares de la Ciudad de Buenos Aires.,Semestral,,,,,
31,elecciones 2013,administracion,2446120,elecciones 2013,Justicia y Seguridad,Resultados definitivos de las elecciones a legisladores porteños desarrolladas en el 2013.,Eventual,,,,,
191,buenos aires compras bac,administracion,2168770,buenos aires compras (bac),Economía y Finanzas,Corresponde a los procesos de compras llevados a cabo por cada una de las diferentes reparticiones del Gobierno de la Ciudad de a través del sistema BAC (BUENOS AIRES COMPRAS),Trimestral,,,,,
194,encuesta en centros de atencion turistica cat,cultura,2138920,encuesta en centros de atencion turistica (cat),SECR General y Relaciones Internacionales,Información sobre la encuesta censal en Centros de Atención Turística (CATs) realizadas en 2016.,Anual,,,,,
36,pauta publicitaria,administracion,2085820,pauta publicitaria,SECR de Medios,Montos -IVA incluído- destinados a las contrataciones de publicidad que realiza el Gobierno de la Ciudad según los distintos proveedores del ramo.,Anual,,,,,
7,ejecucion fiscal morosos y embargos trabados,actividad_economica,2031520,ejecucion fiscal morosos y embargos trabados,Economía y Finanzas,Listado de las ejecuciones fiscales a contribuyentes morosos y embargos trabados llevados a cabo por la Subdirección General de Cobranzas.,Eventual,,,,,
168,departamentos en venta,urbanismo,1785970,departamentos en venta,Desarrollo Urbano y Transporte,Relevamiento muestral de los avisos publicados para la venta de departamentos ubicados en la Ciudad de Buenos Aires desde el año 2001.,Anual,,,,,
156,inspecciones a las obras,seguridad,1412770,inspecciones a las obras,Gobierno,Información sobre las inspecciones a las obras en construcción realizadas por la Dirección General de Protección de Trabajo,Mensual,,,,,
127,seguridad vial autopistas ausa,movilidad,948970,seguridad vial autopistas ausa,Desarrollo Urbano y Transporte,Detalle de hechos que requirieron atención por parte de Seguridad de Vial de AUSA.,Mensual,,,,,
51,calidad de aire,ambiente,888370,calidad de aire,Ambiente y Espacio Público,Información diaria de los niveles medios de monóxido de carbono- dióxido de nitrógeno y material particulado respirable menor a 10 micrones medidos en la Ciudad.,Mensual,,,,,
169,elevacion terreno,urbanismo,838720,elevacion terreno,Desarrollo Urbano y Transporte,Curvas de nivel de la Ciudad de Buenos Aires,Eventual,,,,,
55,informacion meteorologica,ambiente,517420,informacion meteorologica,Ambiente y Espacio Público,Información meteorológica recolectada por Torres de Monitoreo Inteligente (TMI) distribuidas en distintos puntos de la Ciudad.,Tiempo Real,,,,,
49,arbolado en espacios verdes,ambiente,515020,arbolado en espacios verdes,Educación e Innovación,Información geolocalizada de los árboles en espacios verdes (jardín- parque- patio recreativo- plaza- plazoleta- cantero y polideportivo) de la Ciudad de Buenos Aires según su especie.,Eventual,,,,,
129,transportes autorizados de pasajeros,movilidad,452320,transportes autorizados de pasajeros,Desarrollo Urbano y Transporte,Contiene el listado de los transportes escolares- las remiserías y las empresas de radiotaxis autorizados.,Bimestral,,,,,
176,operativos de defensa civil,urbanismo,452170,operativos de defensa civil,Justicia y Seguridad,Información de las intervenciones realizadas por Defensa Civil de la Ciudad con referencia geográfica.,Anual,,,,,
149,nacimientos,salud,375220,nacimientos,Economía y Finanzas,Nacimientos registrados en la Ciudad de Buenos Aires en 2016.,Anual,,,,,
163,calles,urbanismo,302170,calles,Educación e Innovación,Referencia geográfica de las calles de la Ciudad de Buenos Aires- incluyendo el sentido de las mismas.,Trimestral,,,,,
184,sumideros,urbanismo,276820,sumideros,Educación e Innovación,Ubicación geográfica y denominación de los sumideros de la red pluvial de la Ciudad.,Anual,,,,,
203,subte cronograma de servicio,movilidad,266170,subte: cronograma de servicio,Desarrollo Urbano y Transporte,Cronograma de servicio del Subte de Buenos Aires según período del año.,Semestral,,,,,
54,espacios verdes,ambiente,261070,espacios verdes,Educación e Innovación,Límites y ubicación geográfica de los espacios verdes de la Ciudad (jardín- parque- patio recreativo- plaza- plazoleta- cantero y polideportivo).,Mensual,matrix,ev.csv,,,
76,descargas de aplicaciones,cultura,255220,descargas de aplicaciones,Educación e Innovación,Cantidad de descargas de las aplicaciones oficiales del Gobierno de la Ciudad según el sistema operativo utilizado.,Mensual,,,,,
